Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Ana Carolina De Deus Bueno Krawczyk;590958;Nº Da Autorização/Licença Sisbio: 41462, Projeto: Identificação De Parasitos Intestinais Por Meio Da Análise Coproparasitológica Em Felídeos Selvagens De Vida Livre Na Floresta Nacional De Três Barras, Santa Catarina;19/08/2013;20/08/2013 a 20/08/2013;21/01/2015;Leopardus tigrinus;Gato-do-mato;Leopardus tigrinus;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus tigrinus;Espécie Ameaçada;Em Perigo;Floresta Nacional De Três Barras;Brasil;SC;Sem Informações;Espécie não Sensível;-26.166667;-50.166667;Coordenada de referência da área amostrada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Ana Carolina De Deus Bueno Krawczyk;590959;Nº Da Autorização/Licença Sisbio: 41462, Projeto: Identificação De Parasitos Intestinais Por Meio Da Análise Coproparasitológica Em Felídeos Selvagens De Vida Livre Na Floresta Nacional De Três Barras, Santa Catarina;19/08/2013;20/08/2013 a 20/08/2013;21/01/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Floresta Nacional De Três Barras;Brasil;SC;Sem Informações;Espécie não Sensível;-26.166667;-50.166667;Coordenada de referência da área amostrada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Ana Carolina De Deus Bueno Krawczyk;590960;Nº Da Autorização/Licença Sisbio: 41462, Projeto: Identificação De Parasitos Intestinais Por Meio Da Análise Coproparasitológica Em Felídeos Selvagens De Vida Livre Na Floresta Nacional De Três Barras, Santa Catarina;09/09/2013;10/09/2013 a 10/09/2013;21/01/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Floresta Nacional De Três Barras;Brasil;SC;Sem Informações;Espécie não Sensível;-26.166667;-50.166667;Coordenada de referência da área amostrada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Ana Carolina De Deus Bueno Krawczyk;590962;Nº Da Autorização/Licença Sisbio: 41462, Projeto: Identificação De Parasitos Intestinais Por Meio Da Análise Coproparasitológica Em Felídeos Selvagens De Vida Livre Na Floresta Nacional De Três Barras, Santa Catarina;09/09/2013;10/09/2013 a 10/09/2013;21/01/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Floresta Nacional De Três Barras;Brasil;SC;Sem Informações;Espécie não Sensível;-26.166667;-50.166667;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Ana Carolina De Deus Bueno Krawczyk;590964;Nº Da Autorização/Licença Sisbio: 41462, Projeto: Identificação De Parasitos Intestinais Por Meio Da Análise Coproparasitológica Em Felídeos Selvagens De Vida Livre Na Floresta Nacional De Três Barras, Santa Catarina;26/11/2013;27/11/2013 a 27/11/2013;21/01/2015;Leopardus tigrinus;Gato-do-mato;Leopardus tigrinus;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus tigrinus;Espécie Ameaçada;Em Perigo;Floresta Nacional De Três Barras;Brasil;SC;Sem Informações;Espécie não Sensível;-26.166667;-50.166667;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Ana Carolina De Deus Bueno Krawczyk;590966;Nº Da Autorização/Licença Sisbio: 41462, Projeto: Identificação De Parasitos Intestinais Por Meio Da Análise Coproparasitológica Em Felídeos Selvagens De Vida Livre Na Floresta Nacional De Três Barras, Santa Catarina;28/01/2014;29/01/2014 a 29/01/2014;21/01/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Floresta Nacional De Três Barras;Brasil;SC;Sem Informações;Espécie não Sensível;-26.166667;-50.166667;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Ana Carolina De Deus Bueno Krawczyk;590967;Nº Da Autorização/Licença Sisbio: 41462, Projeto: Identificação De Parasitos Intestinais Por Meio Da Análise Coproparasitológica Em Felídeos Selvagens De Vida Livre Na Floresta Nacional De Três Barras, Santa Catarina;28/01/2014;29/01/2014 a 29/01/2014;21/01/2015;Leopardus tigrinus;Gato-do-mato;Leopardus tigrinus;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus tigrinus;Espécie Ameaçada;Em Perigo;Floresta Nacional De Três Barras;Brasil;SC;Sem Informações;Espécie não Sensível;-26.166667;-50.166667;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Sandra Regina Da Silva;591332;Nº Da Autorização/Licença Sisbio: 40622, Projeto: Criação Do Acervo De Animais Taxidermizados No Centro Oeste;22/11/2014;23/11/2014 a 23/11/2014;03/03/2017;Leopardus tigrinus;Gato-do-mato;Leopardus tigrinus;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus tigrinus;Espécie Ameaçada;Em Perigo;Br 158- Trecho Entre Barra Do Garças E Agua Boa;Brasil;MT;Barra Do Garcas;Espécie não Sensível;-15.892806;-52.261356;Coordenada aproximada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591458;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;21/07/2012;22/07/2012 a 22/07/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591459;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;21/07/2012;22/07/2012 a 22/07/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591460;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;20/09/2012;21/09/2012 a 21/09/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591461;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;20/09/2012;21/09/2012 a 21/09/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591462;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;20/09/2012;21/09/2012 a 21/09/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591463;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;20/09/2012;21/09/2012 a 21/09/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591464;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;20/09/2012;21/09/2012 a 21/09/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591470;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;21/05/2013;22/05/2013 a 22/05/2013;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
